id,name,x,y,simc,prng,kind,gmina,powiat
1618,Fijałkowo,572.007,633.593,0517795,29959,wieś,Przasnysz-gmina wiejska,przasnyski
1619,Filipinów,393.835,685.657,0642840,29988,wieś,Zwoleń-gmina miejsko-wiejska,zwoleński
1620,Filipy,562.782,626.889,0117179,30024,wieś,Krasne-gmina wiejska,przasnyski
1621,Filipy,500.852,698.482,0693492,30026,wieś,Wierzbno-gmina wiejska,węgrowski
1622,Filipówka,455.451,693.166,0668672,30016,wieś,Borowie-gmina wiejska,garwoliński
1623,Filochy,573.043,690.147,0508218,30032,wieś,Czerwin-gmina wiejska,ostrołęcki
1624,Fiukały,513.083,667.430,0521839,30091,wieś,Tłuszcz-gmina miejsko-wiejska,wołomiński
1625,Florencja,552.759,531.142,0571323,30153,wieś,Mochowo-gmina wiejska,sierpecki
1626,Florencja,373.483,658.141,0622658,30154,wieś,Iłża-gmina miejsko-wiejska,radomski
1627,Florianów,395.000,691.062,0631858,30175,wieś,Policzna-gmina wiejska,zwoleński
1628,Folwark-Raciąż,546.151,577.079,0123487,30401,wieś,Raciąż-gmina wiejska,płoński
1629,Franciszkowo,575.121,561.325,0130205,30503,wieś,Żuromin-gmina miejsko-wiejska,żuromiński
1630,Franciszków,504.413,668.649,0521510,30511,wieś,Tłuszcz-gmina miejsko-wiejska,wołomiński
1631,Franciszków,445.951,640.258,0616557,30517,wieś,Chynów-gmina wiejska,grójecki
1632,Franciszków,443.184,642.167,0623623,30518,wieś,Jasieniec-gmina wiejska,grójecki
1633,Franciszków,391.401,639.923,0641302,30523,wieś,Wolanów-gmina wiejska,radomski
1634,Franciszków,461.968,591.015,0739290,30514,wieś,Wiskitki-gmina miejsko-wiejska,żyrardowski
1635,Franciszków,360.797,665.412,1054305,30528,wieś,Rzeczniów-gmina wiejska,lipski
1636,Frankopol,510.962,741.208,0685400,30557,wieś,Repki-gmina wiejska,sokołowski
1637,Frankowo,576.122,633.959,0517810,30567,przysiółek,Przasnysz-gmina wiejska,przasnyski
1638,Franków,399.405,680.300,0631775,30571,wieś,Policzna-gmina wiejska,zwoleński
1639,Franopol,503.242,764.579,0018840,30580,wieś,Sarnaki-gmina wiejska,łosicki
1640,Fryszerka,388.238,615.447,0634035,30670,osada,Przysucha-gmina miejsko-wiejska,przysuski
1641,Gabryelin,456.945,642.481,0007077,30761,wieś,Prażmów-gmina wiejska,piaseczyński
1642,Gaczkowice,398.329,631.468,0634118,30842,wieś,Przytyk-gmina miejsko-wiejska,radomski
1643,Gaczkowo,548.965,708.096,0411565,30843,wieś,Zaręby Kościelne-gmina wiejska,ostrowski
1644,Gaczyska,588.582,648.890,0506060,30844,wieś,Baranowo-gmina wiejska,ostrołęcki
1645,Gadka,467.808,670.919,0674661,30909,wieś,Kołbiel-gmina wiejska,otwocki
1646,Gadomiec-Chrzczany,595.469,622.388,0507450,30920,wieś,Chorzele-gmina miejsko-wiejska,przasnyski
1647,Gadomiec-Jebieńki,595.572,620.551,0512266,30921,kolonia,Krzynowłoga Mała-gmina wiejska,przasnyski
1648,Gadomiec-Jędryki,594.806,620.773,0512250,30922,wieś,Krzynowłoga Mała-gmina wiejska,przasnyski
1649,Gadomiec-Miłocięta,596.030,620.636,0507466,30923,wieś,Chorzele-gmina miejsko-wiejska,przasnyski
1650,Gadomiec-Peronie,596.089,621.442,0507472,30924,kolonia,Chorzele-gmina miejsko-wiejska,przasnyski
1651,Gadomiec-Wyraki,594.258,621.655,0512289,30926,kolonia,Krzynowłoga Mała-gmina wiejska,przasnyski
1652,Gadomskie,611.027,666.107,0514905,30928,wieś,Myszyniec-gmina miejsko-wiejska,ostrołęcki
1653,Gaj,538.998,620.208,0128415,31024,wieś,Świercze-gmina wiejska,pułtuski
1654,Gaj,520.258,663.963,0523519,31038,wieś,Zabrodzie-gmina wiejska,wyszkowski
1655,Gaj,393.721,612.300,0633662,31108,wieś,Przysucha-gmina miejsko-wiejska,przysuski
1656,Gaj,480.845,594.056,0738734,31040,wieś,Teresin-gmina wiejska,sochaczewski
1657,Gaj Żelechowski,450.279,646.101,0616563,31179,wieś,Chynów-gmina wiejska,grójecki
1658,Gajówka,398.956,673.610,0630540,132891,osada leśna,Pionki-gmina wiejska,radomski
1659,Gajówka,380.063,612.114,0633656,172575,osada leśna,Przysucha-gmina miejsko-wiejska,przysuski
1660,Gajówka Antoniów,373.253,667.263,0622925,194473,osada leśna,Iłża-gmina miejsko-wiejska,radomski
1661,Gajówka Bernatowizna,480.855,693.745,0683000,175493,osada leśna,Mrozy-gmina miejsko-wiejska,miński
1662,Gajówka Błaziny,362.782,656.898,0623273,175574,osada leśna,Iłża-gmina miejsko-wiejska,radomski
1663,Gajówka Ciepła,532.377,670.905,0506751,17561,osada leśna,Brańszczyk-gmina wiejska,wyszkowski
1664,Gajówka Czerwonka,436.019,651.729,0621802,192786,osada leśna,Grabów nad Pilicą-gmina wiejska,kozienicki
1665,Gajówka Dobiec,381.231,669.740,0625869,196495,osada leśna,Kazanów-gmina miejsko-wiejska,zwoleński
1666,Gajówka Florianów,473.108,696.657,0682979,30178,osada leśna,Mrozy-gmina miejsko-wiejska,miński
1667,Gajówka Grabnik,545.991,681.087,1060524,37374,osada leśna,Długosiodło-gmina wiejska,wyszkowski
1668,Gajówka Gójszcz,483.902,695.018,0682732,170606,osada leśna,Mrozy-gmina miejsko-wiejska,miński
1669,Gajówka Januszno,406.733,675.116,0630787,199659,osada leśna,Pionki-gmina wiejska,radomski
1670,Gajówka Jasieniec,364.505,651.624,0623416,194433,osada leśna,Iłża-gmina miejsko-wiejska,radomski
1671,Gajówka Jastrzębia,426.146,623.617,0633171,190043,osada leśna,Promna-gmina wiejska,białobrzeski
1672,Gajówka Jaśce,404.569,665.580,0630824,194706,osada leśna,Pionki-gmina wiejska,radomski
1673,Gajówka Karpówka,405.855,664.061,0630830,170819,osada leśna,Pionki-gmina wiejska,radomski
1674,Gajówka Kruki,363.579,662.340,0623280,62559,osada leśna,Iłża-gmina miejsko-wiejska,radomski
1675,Gajówka Krzewa,364.580,649.883,0623422,199655,osada leśna,Iłża-gmina miejsko-wiejska,radomski
1676,Gajówka Lewiczyn,436.105,627.722,0614133,175441,osada leśna,Belsk Duży-gmina wiejska,grójecki
1677,Gajówka Lipniak-Majorat,546.959,679.536,0509548,168418,osada leśna,Długosiodło-gmina wiejska,wyszkowski
1678,Gajówka Maziarze,361.699,653.242,0623008,194441,osada leśna,Iłża-gmina miejsko-wiejska,radomski
1679,Gajówka Maziarze,363.127,656.863,0623296,194440,osada leśna,Iłża-gmina miejsko-wiejska,radomski
1680,Gajówka Małyszyn,361.829,650.690,0622701,194436,osada leśna,Iłża-gmina miejsko-wiejska,radomski
1681,Gajówka Michałów,431.802,637.768,0640337,79402,osada leśna,Warka-gmina miejsko-wiejska,grójecki
1682,Gajówka Modrzewina,442.780,621.078,0614200,82479,osada leśna,Belsk Duży-gmina wiejska,grójecki
1683,Gajówka Nadkole,528.931,674.316,0679115,199698,osada leśna,Łochów-gmina miejsko-wiejska,węgrowski
1684,Gajówka Natalin,532.967,668.651,0506946,175642,osada leśna,Brańszczyk-gmina wiejska,wyszkowski
1685,Gajówka Niwy,366.473,647.975,0623439,194445,osada leśna,Iłża-gmina miejsko-wiejska,radomski
1686,Gajówka Obrycie,373.656,662.088,0622931,90912,osada leśna,Iłża-gmina miejsko-wiejska,radomski
